[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687355643.572000 6/21/2023, 3:54:03 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ciclo_histeresis_DC_300K_ fino 1T.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687355643.572,,1.003623e+004,2.930782e+002,1.907778e+000,0.000000e+000,2,9.596914e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.648926e-002,0.000000e+000,0,,0,
1687355673.273,,8.781150e+003,2.930915e+002,1.908008e+000,0.000000e+000,2,9.597452e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.325073e-001,0.000000e+000,0,,0,
1687355706.398,,7.527227e+003,2.930649e+002,1.904342e+000,0.000000e+000,2,9.598156e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.589966e-001,0.000000e+000,0,,0,
1687355739.843,,6.271686e+003,2.930848e+002,1.900769e+000,0.000000e+000,2,9.599838e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.192017e-001,0.000000e+000,0,,0,
1687355818.986,,5.018112e+003,2.929457e+002,1.897268e+000,0.000000e+000,2,9.598505e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.651978e-002,0.000000e+000,0,,0,
1687355850.595,,4.014490e+003,2.929656e+002,1.889893e+000,0.000000e+000,2,9.598231e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.986084e-001,0.000000e+000,0,,0,
1687355879.895,,3.512620e+003,2.930385e+002,1.885389e+000,0.000000e+000,2,9.600503e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.914124e-001,0.000000e+000,0,,0,
1687355906.029,,3.010925e+003,2.929590e+002,1.879556e+000,0.000000e+000,2,9.609166e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.291748e-002,0.000000e+000,0,,0,
1687355935.127,,2.509229e+003,2.930715e+002,1.869421e+000,0.000000e+000,2,9.609759e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.970337e-002,0.000000e+000,0,,0,
1687355961.573,,2.007303e+003,2.930848e+002,1.854905e+000,0.000000e+000,2,9.617888e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.619263e-002,0.000000e+000,0,,0,
1687355991.002,,1.505781e+003,2.929656e+002,1.826285e+000,0.000000e+000,2,9.633049e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.970337e-002,0.000000e+000,0,,0,
1687356018.049,,1.003692e+003,2.930318e+002,1.755524e+000,0.000000e+000,2,9.659938e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.277344e-002,0.000000e+000,0,,0,
1687356046.409,,5.019964e+002,2.930516e+002,1.496305e+000,0.000000e+000,2,9.718152e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.324768e-001,0.000000e+000,0,,0,
1687356072.630,,4.016111e+002,2.929987e+002,1.377141e+000,0.000000e+000,2,9.733664e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.937622e-002,0.000000e+000,0,,0,
1687356102.599,,3.013066e+002,2.929854e+002,1.197937e+000,0.000000e+000,2,9.747432e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.325073e-001,0.000000e+000,0,,0,
1687356127.849,,2.008517e+002,2.931047e+002,9.203606e-001,0.000000e+000,2,9.750934e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.060181e-001,0.000000e+000,0,,0,
1687356175.219,,1.005358e+002,2.930252e+002,5.255319e-001,0.000000e+000,2,9.737092e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.300903e-002,0.000000e+000,0,,0,
1687356243.543,,1.388616e-001,2.930384e+002,4.386541e-002,0.000000e+000,2,9.784976e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.300903e-002,0.000000e+000,0,,0,
1687356319.997,,-5.040677e+001,2.930649e+002,-2.097742e-001,0.000000e+000,2,9.667863e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.059875e-001,0.000000e+000,0,,0,
