[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687420929.500000 6/22/2023, 10:02:09 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ciclo_histeresis_DC_1T linreg.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687420929.500,,1.003808e+004,4.992199e+000,1.954666e+000,0.000000e+000,3,9.837857e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.786751e-003,0.000000e+000,0,,0,
1687420958.965,,8.783001e+003,5.003839e+000,1.954739e+000,0.000000e+000,3,9.832236e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.316500e-002,0.000000e+000,0,,0,
1687420988.629,,7.527458e+003,4.997116e+000,1.952764e+000,0.000000e+000,3,9.831524e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.076101e-002,0.000000e+000,0,,0,
1687421018.536,,6.272727e+003,5.000786e+000,1.949746e+000,0.000000e+000,3,9.831443e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.512598e-002,0.000000e+000,0,,0,
1687421092.301,,5.018112e+003,4.971282e+000,1.945490e+000,0.000000e+000,3,9.829386e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.672268e-002,0.000000e+000,0,,0,
1687421122.514,,4.014490e+003,5.017918e+000,1.938589e+000,0.000000e+000,3,9.831904e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.618074e-002,0.000000e+000,0,,0,
1687421149.165,,3.512505e+003,4.987792e+000,1.935322e+000,0.000000e+000,3,9.831883e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.207111e-002,0.000000e+000,0,,0,
1687421176.012,,3.010925e+003,5.006507e+000,1.929132e+000,0.000000e+000,3,9.832239e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.401711e-002,0.000000e+000,0,,0,
1687421203.788,,2.509229e+003,4.997378e+000,1.921409e+000,0.000000e+000,3,9.832600e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.524900e-002,0.000000e+000,0,,0,
1687421230.647,,2.007360e+003,4.998495e+000,1.910327e+000,0.000000e+000,3,9.832536e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.329491e-002,0.000000e+000,0,,0,
1687421257.835,,1.505723e+003,5.007764e+000,1.890393e+000,0.000000e+000,3,9.833128e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.586294e-002,0.000000e+000,0,,0,
1687421285.335,,1.003738e+003,4.994583e+000,1.849954e+000,0.000000e+000,3,9.833953e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.267717e-002,0.000000e+000,0,,0,
1687421311.988,,5.018922e+002,5.014471e+000,1.741354e+000,0.000000e+000,3,9.835152e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.328587e-002,0.000000e+000,0,,0,
1687421338.046,,4.015878e+002,4.987438e+000,1.695363e+000,0.000000e+000,3,9.836116e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.570225e-003,0.000000e+000,0,,0,
1687421363.219,,3.012834e+002,5.017909e+000,1.629045e+000,0.000000e+000,3,9.836279e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.349567e-002,0.000000e+000,0,,0,
1687421388.579,,2.008170e+002,4.982635e+000,1.516130e+000,0.000000e+000,3,9.836603e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.256607e-002,0.000000e+000,0,,0,
1687421415.485,,1.005127e+002,5.012805e+000,1.244839e+000,0.000000e+000,3,9.834365e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.766060e-003,0.000000e+000,0,,0,
1687421479.106,,1.272898e-001,5.004065e+000,8.452267e-002,0.000000e+000,3,9.853714e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.191639e-002,0.000000e+000,0,,0,
1687421511.485,,-5.040678e+001,4.985763e+000,-3.992603e-001,0.000000e+000,3,9.937714e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.013014e-002,0.000000e+000,0,,0,
1687421576.685,,-1.006515e+002,4.986508e+000,-8.896760e-001,0.000000e+000,3,9.895264e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.130674e-002,0.000000e+000,0,,0,
1687421601.917,,-1.508037e+002,4.998692e+000,-1.173138e+000,0.000000e+000,3,9.926183e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.216267e-002,0.000000e+000,0,,0,
