[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687537032.054000 6/23/2023, 6:17:12 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.6Al0.4Fe5O8
INFO, WEIGHT, 85.250
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 29.92 mg, capsule:40.26 mg
INFO, SEQUENCE FILE: ciclo_histeresis_DC_1T linreg.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687537032.046,,1.003808e+004,4.998793e+000,1.433989e+000,0.000000e+000,3,9.889182e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.410889e-003,0.000000e+000,0,,0,
1687537062.180,,8.784153e+003,5.000581e+000,1.431473e+000,0.000000e+000,3,9.886163e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.164913e-003,0.000000e+000,0,,0,
1687537092.652,,7.528615e+003,4.999999e+000,1.430079e+000,0.000000e+000,3,9.886655e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.493309e-003,0.000000e+000,0,,0,
1687537121.738,,6.273074e+003,5.000127e+000,1.427649e+000,0.000000e+000,3,9.887047e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,8.068085e-003,0.000000e+000,0,,0,
1687537197.101,,5.017881e+003,4.999001e+000,1.423900e+000,0.000000e+000,3,9.889758e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.326416e-003,0.000000e+000,0,,0,
1687537227.660,,4.014143e+003,4.999835e+000,1.417458e+000,0.000000e+000,3,9.885686e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.319046e-003,0.000000e+000,0,,0,
1687537254.208,,3.512505e+003,4.999921e+000,1.413035e+000,0.000000e+000,3,9.884858e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.646893e-003,0.000000e+000,0,,0,
1687537280.476,,3.010867e+003,5.000129e+000,1.406790e+000,0.000000e+000,3,9.885002e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,9.730816e-003,0.000000e+000,0,,0,
1687537308.304,,2.509172e+003,4.999585e+000,1.396526e+000,0.000000e+000,3,9.884348e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,6.485939e-003,0.000000e+000,0,,0,
1687537335.939,,2.007303e+003,4.998711e+000,1.379218e+000,0.000000e+000,3,9.883067e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.070210e-003,0.000000e+000,0,,0,
