[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687364009.333000 6/21/2023, 6:13:29 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ZFCF.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687375237.961,,1.000000e+001,1.272698e+001,4.543918e-002,0.000000e+000,3,9.979857e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.949850e+000,0.000000e+000,0,,0,
1687375282.759,,1.000000e+001,1.953343e+001,4.544841e-002,0.000000e+000,3,9.979098e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.563320e+000,0.000000e+000,0,,0,
1687375325.346,,1.000000e+001,2.653017e+001,4.546466e-002,0.000000e+000,3,9.977956e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.587780e+000,0.000000e+000,0,,0,
1687375365.627,,1.000000e+001,3.300039e+001,4.547800e-002,0.000000e+000,3,9.977289e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.288939e+000,0.000000e+000,0,,0,
1687375402.573,,1.000000e+001,3.889445e+001,4.549129e-002,0.000000e+000,3,9.977592e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.475700e+000,0.000000e+000,0,,0,
1687375445.553,,1.000000e+001,4.583117e+001,4.550911e-002,0.000000e+000,3,9.977593e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.333870e+000,0.000000e+000,0,,0,
1687375484.983,,1.000000e+001,5.231287e+001,4.552891e-002,0.000000e+000,3,9.978428e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.375076e+000,0.000000e+000,0,,0,
1687375527.463,,1.000000e+001,5.905653e+001,4.555425e-002,0.000000e+000,3,9.978822e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.617950e+000,0.000000e+000,0,,0,
1687375564.385,,1.000000e+001,6.508601e+001,4.557641e-002,0.000000e+000,3,9.979477e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.646217e+000,0.000000e+000,0,,0,
1687375607.522,,1.000000e+001,7.230805e+001,4.561133e-002,0.000000e+000,3,9.978827e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.547241e+000,0.000000e+000,0,,0,
