[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687338696.455000 6/21/2023, 11:11:36 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ZFCFC_RSO 1O0 Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687338696.455,,1.000000e+002,1.798152e+000,5.646142e-001,0.000000e+000,3,9.970676e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.190207e-004,0.000000e+000,0,,0,
1687338782.587,,1.000000e+002,3.372865e+000,5.627668e-001,0.000000e+000,3,9.970024e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.272981e-001,0.000000e+000,0,,0,
1687338812.490,,1.000000e+002,5.222051e+000,5.623959e-001,0.000000e+000,3,9.966361e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.004357e+000,0.000000e+000,0,,0,
1687338835.398,,1.000000e+002,7.381656e+000,5.621281e-001,0.000000e+000,3,9.965781e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.314854e+000,0.000000e+000,0,,0,
1687338859.640,,1.000000e+002,1.088712e+001,5.612925e-001,0.000000e+000,3,9.964288e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.070696e+000,0.000000e+000,0,,0,
1687338912.706,,1.000000e+002,1.867150e+001,5.614277e-001,0.000000e+000,3,9.966869e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.454241e+000,0.000000e+000,0,,0,
1687338936.920,,1.000000e+002,2.259530e+001,5.612599e-001,0.000000e+000,3,9.965681e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.212561e+000,0.000000e+000,0,,0,
1687338963.170,,1.000000e+002,2.658117e+001,5.608035e-001,0.000000e+000,3,9.964596e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.985069e+000,0.000000e+000,0,,0,
1687338990.149,,1.000000e+002,3.114386e+001,5.607926e-001,0.000000e+000,3,9.964390e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.546709e+000,0.000000e+000,0,,0,
1687339015.008,,1.000000e+002,3.515128e+001,5.605917e-001,0.000000e+000,3,9.964308e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.881851e+000,0.000000e+000,0,,0,
1687339039.276,,1.000000e+002,3.899255e+001,5.605770e-001,0.000000e+000,3,9.966239e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.474030e+000,0.000000e+000,0,,0,
1687339065.442,,1.000000e+002,4.319934e+001,5.601029e-001,0.000000e+000,3,9.965791e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.567871e+000,0.000000e+000,0,,0,
1687339091.647,,1.000000e+002,4.724477e+001,5.600888e-001,0.000000e+000,3,9.963965e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.812599e+000,0.000000e+000,0,,0,
1687339117.383,,1.000000e+002,5.148092e+001,5.598545e-001,0.000000e+000,3,9.966095e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.971481e+000,0.000000e+000,0,,0,
1687339143.401,,1.000000e+002,5.587674e+001,5.596124e-001,0.000000e+000,3,9.962915e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.587662e+000,0.000000e+000,0,,0,
1687339167.364,,1.000000e+002,5.982858e+001,5.595799e-001,0.000000e+000,3,9.966136e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,3.409241e+000,0.000000e+000,0,,0,
