[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687364009.333000 6/21/2023, 6:13:29 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ZFCF.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687364100.159,,1.000000e+001,1.474908e+001,7.817598e-003,0.000000e+000,3,9.958825e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.297920e+000,0.000000e+000,0,,0,
1687364118.888,,1.000000e+001,1.767893e+001,8.176853e-003,0.000000e+000,3,9.959532e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.436390e+000,0.000000e+000,0,,0,
1687364137.615,,1.000000e+001,2.070139e+001,8.536197e-003,0.000000e+000,3,9.961435e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.398859e+000,0.000000e+000,0,,0,
1687364156.492,,1.000000e+001,2.359549e+001,8.924915e-003,0.000000e+000,3,9.962552e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.794910e+000,0.000000e+000,0,,0,
1687364174.556,,1.000000e+001,2.676923e+001,9.339130e-003,0.000000e+000,3,9.963420e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.583858e+000,0.000000e+000,0,,0,
1687364191.728,,1.000000e+001,2.955797e+001,9.731006e-003,0.000000e+000,3,9.964697e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.033661e+000,0.000000e+000,0,,0,
1687364210.462,,1.000000e+001,3.246611e+001,1.012306e-002,0.000000e+000,3,9.964266e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.584620e+000,0.000000e+000,0,,0,
1687364228.243,,1.000000e+001,3.531036e+001,1.056629e-002,0.000000e+000,3,9.965025e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.194172e+000,0.000000e+000,0,,0,
1687364245.841,,1.000000e+001,3.823807e+001,1.100112e-002,0.000000e+000,3,9.966599e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.366772e+000,0.000000e+000,0,,0,
1687364264.341,,1.000000e+001,4.118979e+001,1.146752e-002,0.000000e+000,3,9.967270e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.300346e+000,0.000000e+000,0,,0,
1687364282.919,,1.000000e+001,4.411021e+001,1.197566e-002,0.000000e+000,3,9.967477e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.623329e+000,0.000000e+000,0,,0,
1687364302.154,,1.000000e+001,4.715988e+001,1.250921e-002,0.000000e+000,3,9.968449e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.568241e+000,0.000000e+000,0,,0,
