[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687338696.455000 6/21/2023, 11:11:36 AM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.5Al0.5Fe5O8
INFO, WEIGHT, 84.430
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 15.1 mg, capsule:39.07 mg
INFO, SEQUENCE FILE: ZFCFC_RSO 1O0 Oe.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687350385.657,,1.000000e+002,1.501581e+001,5.411883e-001,0.000000e+000,3,9.936176e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.689621e-003,0.000000e+000,0,,0,
1687350467.317,,1.000000e+002,2.415670e+001,5.414959e-001,0.000000e+000,3,9.939137e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.361311e+000,0.000000e+000,0,,0,
1687350503.675,,1.000000e+002,2.990830e+001,5.416553e-001,0.000000e+000,3,9.937007e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.339621e+000,0.000000e+000,0,,0,
1687350548.036,,1.000000e+002,3.687643e+001,5.418556e-001,0.000000e+000,3,9.937311e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.998589e+000,0.000000e+000,0,,0,
1687350601.748,,1.000000e+002,4.552903e+001,5.421001e-001,0.000000e+000,3,9.938065e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.884460e+000,0.000000e+000,0,,0,
1687350631.592,,1.000000e+002,5.051903e+001,5.421755e-001,0.000000e+000,3,9.934496e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.509663e+000,0.000000e+000,0,,0,
1687350663.202,,1.000000e+002,5.564138e+001,5.423593e-001,0.000000e+000,3,9.934486e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.604340e+000,0.000000e+000,0,,0,
1687350700.984,,1.000000e+002,6.193731e+001,5.425945e-001,0.000000e+000,3,9.934752e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.530621e+000,0.000000e+000,0,,0,
1687350753.055,,1.000000e+002,7.046215e+001,5.428667e-001,0.000000e+000,3,9.935400e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.602646e+000,0.000000e+000,0,,0,
1687350783.010,,1.000000e+002,7.557626e+001,5.430359e-001,0.000000e+000,3,9.934717e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.794746e+000,0.000000e+000,0,,0,
1687350817.231,,1.000000e+002,8.104463e+001,5.431832e-001,0.000000e+000,3,9.933205e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.919838e+000,0.000000e+000,0,,0,
1687350871.336,,1.000000e+002,9.047763e+001,5.435550e-001,0.000000e+000,3,9.933749e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.838387e+000,0.000000e+000,0,,0,
1687350901.427,,1.000000e+002,9.552032e+001,5.436991e-001,0.000000e+000,3,9.931724e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.625130e+000,0.000000e+000,0,,0,
1687350930.355,,1.000000e+002,1.005203e+002,5.438869e-001,0.000000e+000,3,9.930686e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.414444e+000,0.000000e+000,0,,0,
1687350965.083,,1.000000e+002,1.063368e+002,5.440480e-001,0.000000e+000,3,9.928917e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.352402e+000,0.000000e+000,0,,0,
1687351017.079,,1.000000e+002,1.151363e+002,5.443501e-001,0.000000e+000,3,9.928673e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.309204e+000,0.000000e+000,0,,0,
1687351047.751,,1.000000e+002,1.202903e+002,5.444242e-001,0.000000e+000,3,9.928424e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.420403e+000,0.000000e+000,0,,0,
1687351079.474,,1.000000e+002,1.255956e+002,5.444595e-001,0.000000e+000,3,9.926098e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.973495e+000,0.000000e+000,0,,0,
1687351135.132,,1.000000e+002,1.348024e+002,5.446386e-001,0.000000e+000,3,9.925533e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,5.029907e+000,0.000000e+000,0,,0,
1687351165.220,,1.000000e+002,1.400636e+002,5.446259e-001,0.000000e+000,3,9.923484e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.835205e+000,0.000000e+000,0,,0,
1687351195.634,,1.000000e+002,1.451132e+002,5.445464e-001,0.000000e+000,3,9.923187e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.630905e+000,0.000000e+000,0,,0,
1687351226.623,,1.000000e+002,1.506540e+002,5.445399e-001,0.000000e+000,3,9.922023e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.278793e+000,0.000000e+000,0,,0,
1687351278.006,,1.000000e+002,1.590717e+002,5.444245e-001,0.000000e+000,3,9.921037e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.696106e+000,0.000000e+000,0,,0,
1687351308.479,,1.000000e+002,1.640555e+002,5.442561e-001,0.000000e+000,3,9.921261e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.630508e+000,0.000000e+000,0,,0,
1687351342.973,,1.000000e+002,1.698592e+002,5.440634e-001,0.000000e+000,3,9.919076e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.503403e+000,0.000000e+000,0,,0,
1687351394.561,,1.000000e+002,1.787095e+002,5.437902e-001,0.000000e+000,3,9.918224e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.627197e+000,0.000000e+000,0,,0,
1687351426.174,,1.000000e+002,1.838016e+002,5.435223e-001,0.000000e+000,3,9.918792e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.994202e+000,0.000000e+000,0,,0,
1687351457.659,,1.000000e+002,1.891180e+002,5.433204e-001,0.000000e+000,3,9.918491e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.450302e+000,0.000000e+000,0,,0,
1687351514.966,,1.000000e+002,1.985851e+002,5.428301e-001,0.000000e+000,3,9.918076e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.748306e+000,0.000000e+000,0,,0,
1687351545.802,,1.000000e+002,2.038421e+002,5.423992e-001,0.000000e+000,3,9.917664e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.550003e+000,0.000000e+000,0,,0,
1687351576.072,,1.000000e+002,2.090403e+002,5.421774e-001,0.000000e+000,3,9.918240e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.358704e+000,0.000000e+000,0,,0,
1687351610.986,,1.000000e+002,2.148314e+002,5.415915e-001,0.000000e+000,3,9.918275e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.500900e+000,0.000000e+000,0,,0,
1687351660.076,,1.000000e+002,2.230764e+002,5.409106e-001,0.000000e+000,3,9.918733e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.238190e+000,0.000000e+000,0,,0,
1687351689.267,,1.000000e+002,2.277810e+002,5.405460e-001,0.000000e+000,3,9.920250e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.652390e+000,0.000000e+000,0,,0,
1687351721.447,,1.000000e+002,2.334829e+002,5.400163e-001,0.000000e+000,3,9.918936e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.235306e+000,0.000000e+000,0,,0,
1687351781.037,,1.000000e+002,2.432947e+002,5.389886e-001,0.000000e+000,3,9.920964e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.512802e+000,0.000000e+000,0,,0,
1687351811.084,,1.000000e+002,2.481888e+002,5.384441e-001,0.000000e+000,3,9.923835e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.624893e+000,0.000000e+000,0,,0,
1687351843.361,,1.000000e+002,2.535417e+002,5.377451e-001,0.000000e+000,3,9.924783e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.939285e+000,0.000000e+000,0,,0,
1687351875.488,,1.000000e+002,2.589213e+002,5.371416e-001,0.000000e+000,3,9.925305e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.548309e+000,0.000000e+000,0,,0,
1687351923.852,,1.000000e+002,2.672334e+002,5.361933e-001,0.000000e+000,3,9.924479e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.277405e+000,0.000000e+000,0,,0,
1687351954.744,,1.000000e+002,2.721492e+002,5.357198e-001,0.000000e+000,3,9.927134e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.839600e+000,0.000000e+000,0,,0,
1687351991.424,,1.000000e+002,2.782015e+002,5.349490e-001,0.000000e+000,3,9.925839e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.443695e+000,0.000000e+000,0,,0,
1687352026.546,,1.000000e+002,2.843551e+002,5.342990e-001,0.000000e+000,3,9.928844e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.696777e+000,0.000000e+000,0,,0,
1687352079.284,,1.000000e+002,2.928631e+002,5.331931e-001,0.000000e+000,3,9.927992e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.378784e+000,0.000000e+000,0,,0,
1687352109.831,,1.000000e+002,2.980685e+002,5.323621e-001,0.000000e+000,3,9.931548e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,4.577789e+000,0.000000e+000,0,,0,
