[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1687521323.720000 6/23/2023, 1:55:23 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.60,  Build 081

INFO, NAME, Li0.6Al0.4Fe5O8
INFO, WEIGHT, 85.250
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 
INFO, COMMENT, cotton: 29.92 mg, capsule:40.26 mg
INFO, SEQUENCE FILE: ZFCF.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1687521323.712,,9.999999e+002,4.997795e+000,1.208266e+000,0.000000e+000,3,9.888126e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,7.481575e-004,0.000000e+000,0,,0,
1687521400.973,,9.999999e+002,1.278947e+001,1.209331e+000,0.000000e+000,3,9.891651e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,1.864430e+000,0.000000e+000,0,,0,
1687521444.047,,9.999999e+002,1.951488e+001,1.210203e+000,0.000000e+000,3,9.891553e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.145390e+000,0.000000e+000,0,,0,
1687521485.643,,9.999999e+002,2.611311e+001,1.210686e+000,0.000000e+000,3,9.890087e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.244110e+000,0.000000e+000,0,,0,
1687521525.583,,9.999999e+002,3.268987e+001,1.211623e+000,0.000000e+000,3,9.891414e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.448660e+000,0.000000e+000,0,,0,
1687521568.024,,9.999999e+002,3.932869e+001,1.212159e+000,0.000000e+000,3,9.890900e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.144463e+000,0.000000e+000,0,,0,
1687521607.227,,9.999999e+002,4.571313e+001,1.212718e+000,0.000000e+000,3,9.891713e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.290352e+000,0.000000e+000,0,,0,
1687521649.224,,9.999999e+002,5.234639e+001,1.213022e+000,0.000000e+000,3,9.891761e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.778030e+000,0.000000e+000,0,,0,
1687521688.695,,9.999999e+002,5.881575e+001,1.213464e+000,0.000000e+000,3,9.891716e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.526123e+000,0.000000e+000,0,,0,
1687521728.517,,9.999999e+002,6.557535e+001,1.213843e+000,0.000000e+000,3,9.892083e-001,0.000000e+000,,,,,,,,,,,,,,24,1,4.000000e+000,2.533882e+000,0.000000e+000,0,,0,
