[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.5Al0.5Fe5O8
FILEOPENTIME,15320102.91,06/27/2023,4:37 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.5Al0.5Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,11.59,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,34.24,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15320830.885,303.085144042969,1000.063,0.240802114559423,4.94655646780833E-6,1,15.0002345885404,40.1327056884766,2.0063939714686,8.940001539886,1.33556700555603,0.126567758868998,2.5,-0.00017350446570178,0.24079232723369,0.000764723452929656,294.9748535,294.9748535,1000.063,1000.063,57.1096877576022,20.6602804782393,9.2E-6,0,0,0,5906,294.609,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,294.9748535,,,,
,15320836.875,303.902038574219,1000.063,0.240686190237385,5.98322920540393E-6,1,15.0002345885404,40.1327056884766,2.00640724923362,8.940001539886,1.33493450295734,0.12648842866849,2.5,-0.00017688577131783,0.240676419139903,0.000760890620167819,294.9748535,294.9754333,1000.063,1000.063,56.6657227586791,20.6628006603847,9.2E-6,0,0,0,5906,294.609,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,294.9751434,,,,
,15320850.17,305.217956542969,1000.063,0.240535270326292,5.69703383662555E-6,1,15.0002345885404,40.1327056884766,2.00629563411605,8.940001539886,1.33402680030624,0.126381606119352,2.5,-0.000180531943458502,0.2405254952743,0.000756693804140206,294.9754333,294.9810486,1000.063,1000.063,57.5176978446407,20.6638226546868,9.15E-6,0,0,0,5906,294.59915,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,294.97824095,,,,
,15320889.93,308.040435791016,1000.063,0.240196761274606,2.99871994457226E-6,1,15.0002345885404,40.1327056884766,2.00600725670672,8.940001539886,1.33243185798644,0.126182678325784,25,-0.000188817824960534,0.240186948125111,0.000747083764011919,294.9907837,294.9907837,1000.063,1000.063,57.9077304757369,20.6646383571864,9.2E-6,0,0,0,5906,294.60055,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,294.9907837,,,,
,15320896.315,308.942932128906,1000.063,0.240037255987299,5.05588909700169E-6,1,15.0002345885404,40.1327056884766,2.00587255467516,8.940001539886,1.33146297872622,0.126055535701554,25,-0.000195028133454355,0.240027457657384,0.000740264656649179,294.9907837,294.9952393,1000.063,1000.063,57.6654256347753,20.6643463482871,9.2E-6,0,0,0,5906,294.59725,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,294.9930115,,,,
,15320910.08,310.198638916016,1000.063,0.239880266652061,5.33056070971305E-6,1,15.0002345885404,40.1327056884766,2.00564893972647,8.940001539886,1.3304509302139,0.125919606597667,25,-0.000202075131594558,0.239870471403285,0.00073261240829084,294.9952393,294.9997864,1000.063,1000.063,58.2383593393715,20.6631869920054,9.2E-6,0,0,0,5906,294.5956,1000.063,,,,,,,,,,,,,,,,,211.928238,,,,,,294.99751285,,,,
,15320925.235,311.567047119141,1000.063,0.239708036385774,4.13994015207135E-6,1,15.0002345885404,40.1327056884766,2.0055858978098,8.940001539886,1.32945712986703,0.125799669747834,25,-0.000206573294239045,0.239698231135985,0.000727461743076351,294.9997864,295.0050354,1000.063,1000.063,57.7943943404484,20.6630054121833,9.2E-6,0,0,0,5906,294.5907,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.0024109,,,,
,15320940.24,312.801116943359,1000.063,0.239547626391086,3.5397263010118E-6,1,15.0002345885404,40.1327056884766,2.00549837894724,8.940001539886,1.32851042744944,0.125712356480736,25,-0.000206054573857121,0.239537788431441,0.000727380175448253,295.0050354,295.0101929,1000.063,1000.063,57.7326456874292,20.664559881138,9.2E-6,0,0,0,5906,294.5841,1000.063,,,,,,,,,,,,,,,,,212.660156,,,,,,295.00761415,,,,
,15320955.14,314.053131103516,1000.063,0.239376905851896,5.06587783155713E-6,1,15.0002345885404,40.1327056884766,2.00550424666819,8.940001539886,1.32756705840397,0.12562542787929,25,-0.000205483657282158,0.239367048076291,0.000727279727781192,295.0101929,295.0126038,1000.063,1000.063,57.4934673605446,20.6703115105448,9.15E-6,0,0,0,5906,294.5857,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.01139835,,,,
,15320970.205,315.2890625,1000.063,0.23920265364405,3.4963179386519E-6,1,15.0002345885404,40.1327056884766,2.00563797312113,8.940001539886,1.32668855631538,0.125524838882101,25,-0.000208435162958503,0.239192787433629,0.000723630639706715,295.0126038,295.0188599,1000.063,1000.063,58.22976142566,20.6740406149864,9.2E-6,0,0,0,5906,294.59065,1000.063,,,,,,,,,,,,,,,,,212.294205,,,,,,295.01573185,,,,
