[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,Li0.6Al0.4Fe5O8
FILEOPENTIME,15380191.52,06/28/2023,9:18 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,LB510,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Li0.6Al0.4Fe5O8 +PVA,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,5.67,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3 mm diameter,SAMPLE_SIZE
INFO,pellet,SAMPLE_SHAPE
INFO,35.06,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15380926.89,303.083770751953,999.931,0.199187349026706,3.90808726539829E-6,1,15.0002345885404,40.1327056884766,1.98643859936651,10.3100021928549,1.09639669033743,0.102977344438027,250,-0.000309862147685171,0.199179906931391,0.000466016322621306,294.977417,294.977417,999.931,999.931,58.812074672487,20.4313650058271,9.2E-6,0,0,0,5906,294.6775,999.931,,,,,,,,,,,,,,,,,217.05159,,,,,,294.977417,,,,
,15380958.755,305.911041259766,999.931,0.198561868941835,4.54728007097432E-6,1,15.0002345885404,40.1327056884766,1.98640969847263,10.3100021928549,1.09103532498741,0.102519364030241,25,-0.000300713715512828,0.198554369865271,0.000472774759878539,294.9852295,294.9852295,999.931,999.931,59.299810868487,20.4358641048832,9.15E-6,0,0,0,5906,294.6625,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,294.9852295,,,,
,15380962.58,306.387664794922,999.931,0.198424531030809,2.91113489696087E-6,1,15.0002345885404,40.1327056884766,1.98661368754193,10.3100021928549,1.09038951816721,0.102464724113762,25,-0.000299364229832069,0.19841702961473,0.000473537843340264,294.9852295,294.9880371,999.931,999.931,59.6359111317563,20.4248868772283,9.2E-6,0,0,0,5906,294.67895,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,294.9866333,,,,
,15380973.88,307.806274414063,999.931,0.198280433952823,3.00965280961199E-6,1,15.0002345885404,40.1327056884766,1.98654477717754,10.3100021928549,1.08956044245871,0.10238860259506,25,-0.000298824410584465,0.19827291393958,0.000473516307983924,294.9880371,294.9933167,999.931,999.931,59.4201816604486,20.4413857608694,9.2E-6,0,0,0,5906,294.67895,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,294.9906769,,,,
,15380988.89,309.002685546875,999.931,0.198140995425696,4.52464633197473E-6,1,15.0002345885404,40.1327056884766,1.98668983859104,10.3100021928549,1.08887049715854,0.102336935854349,25,-0.000296302623412945,0.198133440253848,0.000475558526476619,294.9933167,294.9970703,999.931,999.931,59.6577967302948,20.4394192258331,9.2E-6,0,0,0,5906,294.6585,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,294.9951935,,,,
,15381003.8,310.229736328125,999.931,0.197995525056986,3.58115125928835E-6,1,15.0002345885404,40.1327056884766,1.98649858083938,10.3100021928549,1.08796836165562,0.102254702501338,25,-0.000295616370587379,0.197987953588537,0.000475669929133476,294.9970703,295.0007019,999.931,999.931,59.6054276195063,20.4309957232782,9.2E-6,0,0,0,5906,294.6611,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,294.9988861,,,,
,15381018.815,311.449920654297,999.931,0.197843842911096,3.70962326572956E-6,1,15.0002345885404,40.1327056884766,1.98659097295225,10.3100021928549,1.08718636307691,0.102157677950664,25,-0.000299654211007667,0.197836265505513,0.00047106172457174,295.0007019,295.0064697,999.931,999.931,59.2130501028524,20.4325841997503,9.2E-6,0,0,0,5906,294.65455,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.0035858,,,,
,15381033.82,312.681274414063,999.931,0.197695637136854,3.70642126784526E-6,1,15.0002345885404,40.1327056884766,1.98664615342246,10.3100021928549,1.08640083801938,0.102088508153531,25,-0.000298607770525711,0.197688033574952,0.000471546111249535,295.0064697,295.010376,999.931,999.931,59.892285286064,20.4287407394531,9.25E-6,0,0,0,5906,294.6496,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.00842285,,,,
,15381048.805,313.996398925781,999.931,0.197543452032399,2.20811224040307E-6,1,15.0002345885404,40.1327056884766,1.98660549612676,10.3100021928549,1.08554094299885,0.102026246165191,25,-0.000295047227314459,0.197535818697592,0.00047452757955575,295.010376,295.0140686,999.931,999.931,59.1755319339293,20.4388287788961,9.25E-6,0,0,0,5906,294.6451,999.931,,,,,,,,,,,,,,,,,217.05159,,,,,,295.0122223,,,,
,15381063.79,315.256683349609,999.931,0.197384031582536,4.67471920020782E-6,1,15.0002345885404,40.1327056884766,1.98659345297515,10.3100021928549,1.0846580269235,0.10194656521026,25,-0.000294227595939154,0.197376378311227,0.000474740046645845,295.0140686,295.0184021,999.931,999.931,59.8180305767371,20.445230731222,9.25E-6,0,0,0,5906,294.6406,999.931,,,,,,,,,,,,,,,,,217.05159,,,,,,295.01623535,,,,
,15381078.865,316.555725097656,999.931,0.197232765609374,3.87155330895706E-6,1,15.0002345885404,40.1327056884766,1.98670491449707,10.3100021928549,1.08388626761735,0.101871807391872,25,-0.000294448570954368,0.197225090293844,0.0004739756562116,295.0184021,295.0231018,999.931,999.931,59.7539370381602,20.4631860054643,9.2E-6,0,0,0,5906,294.6258,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.02075195,,,,
,15381093.92,317.675964355469,999.931,0.197050284988248,3.37658461239359E-6,1,15.0002345885404,40.1327056884766,1.98658816389608,10.3100021928549,1.082825003928,0.101731095174213,25,-0.000301571054933893,0.19704262040405,0.000466147610938071,295.0231018,295.0272217,999.931,999.931,60.1424064122179,20.4388756425306,9.15E-6,0,0,0,5906,294.62415,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.02516175,,,,
,15381108.82,318.972564697266,999.931,0.196888094143871,3.50450610163472E-6,1,15.0002345885404,40.1327056884766,1.98660293613237,10.3100021928549,1.08194261929535,0.101635795861272,25,-0.000303553324821992,0.196880416621647,0.000463527273689,295.0272217,295.0332947,999.931,999.931,59.6937516421794,20.4341011977817,9.2E-6,0,0,0,5906,294.62615,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0302582,,,,
,15381123.775,320.206207275391,999.931,0.196725539524159,3.59208791827585E-6,1,15.0002345885404,40.1327056884766,1.98655983954307,10.3100021928549,1.0810239929632,0.101573302870429,25,-0.0002990436078283,0.196717818221308,0.000467437770432388,295.0332947,295.0380554,999.931,999.931,59.6507620736217,20.4276225395109,9.15E-6,0,0,0,5906,294.61505,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.03567505,,,,
,15381138.785,321.482208251953,999.931,0.196556938975302,3.17231518851804E-6,1,15.0002345885404,40.1327056884766,1.98683405266677,10.3100021928549,1.08024496001707,0.101480645207745,25,-0.000302352965989892,0.196549221242887,0.000463527477251509,295.0374756,295.0380554,999.931,999.931,59.8086510345063,20.427096680454,9.1E-6,0,0,0,5906,294.597,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.0377655,,,,
,15381153.815,322.748413085937,999.931,0.196392819771318,3.15434303733852E-6,1,15.0002345885404,40.1327056884766,1.98691775692336,10.3100021928549,1.07938707633017,0.101402970867626,25,-0.00030156942821729,0.1963850935922,0.000463666526883894,295.0374756,295.0428162,999.931,999.931,59.8743078301217,20.4305831525946,9.1E-6,0,0,0,5906,294.5986,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.0401459,,,,
,15381168.805,324.007019042969,999.931,0.196228789358304,2.58218087287973E-6,1,15.0002345885404,40.1327056884766,1.98682689199739,10.3100021928549,1.07843613415734,0.101325095166933,25,-0.000299273796485454,0.196221036153295,0.000465346190178971,295.0428162,295.0458374,999.931,999.931,59.7938000926409,20.430304616222,9.15E-6,0,0,0,5906,294.59105,999.931,,,,,,,,,,,,,,,,,217.783508,,,,,,295.0443268,,,,
,15381183.76,325.297210693359,999.931,0.196057685073371,3.59133318062547E-6,1,15.0002345885404,40.1327056884766,1.98693595463489,10.3100021928549,1.0775522347184,0.101254960922301,25,-0.000296772960451413,0.196049907904621,0.0004672692044383,295.0458374,295.047699,999.931,999.931,59.8078694059871,20.4263782848378,9.2E-6,0,0,0,5906,294.5622,999.931,,,,,,,,,,,,,,,,,218.14946,,,,,,295.0467682,,,,
,15381198.77,326.444305419922,999.931,0.195882606086948,3.95980711067712E-6,1,15.0002345885404,40.1327056884766,1.98700502925778,10.3100021928549,1.07662668935093,0.101166096247445,25,-0.000296869624959251,0.195874828657371,0.000466510451353578,295.047699,295.0482483,999.931,999.931,59.8188122052563,20.4255411354898,9.15E-6,0,0,0,5906,294.55565,999.931,,,,,,,,,,,,,,,,,217.417542,,,,,,295.04797365,,,,
